PROP_TYPE|LIST_NO|LIST_AGENT|LIST_OFFICE|STATUS|LIST_PRICE|STREET_NO|STREET_NAME|UNIT_NO|TOWN_NUM|AREA|ZIP_CODE|LENDER_OWNED|REMARKS|PHOTO_COUNT|PHOTO_DATE|PHOTO_MASK|LISTING_ALERT|NEIGHBORHOOD|SF_TYPE|STYLE|LOT_SIZE|ACRE|SQUARE_FEET|GARAGE_SPACES|GARAGE_PARKING|BASEMENT|NO_ROOMS|NO_BEDROOMS|NO_FULL_BATHS|NO_HALF_BATHS|MASTER_BATH|LIV_LEVEL|LIV_DIMEN|LIV_DSCRP|DIN_LEVEL|DIN_DIMEN|DIN_DSCRP|FAM_LEVEL|FAM_DIMEN|FAM_DSCRP|KIT_LEVEL|KIT_DIMEN|KIT_DSCRP|MBR_LEVEL|MBR_DIMEN|MBR_DSCRP|BED2_LEVEL|BED2_DIMEN|BED2_DSCRP|BED3_LEVEL|BED3_DIMEN|BED3_DSCRP|BED4_LEVEL|BED4_DIMEN|BED4_DSCRP|BED5_LEVEL|BED5_DIMEN|BED5_DSCRP|BTH1_LEVEL|BTH1_DIMEN|BTH1_DSCRP|BTH2_LEVEL|BTH2_DIMEN|BTH2_DSCRP|BTH3_LEVEL|BTH3_DIMEN|BTH3_DSCRP|LAUNDRY_LEVEL|LAUNDRY_DIMEN|LAUNDRY_DSCRP|OTH1_ROOM_NAME|OTH1_LEVEL|OTH1_DIMEN|OTH1_DSCRP|OTH2_ROOM_NAME|OTH2_LEVEL|OTH2_DIMEN|OTH2_DSCRP|OTH3_ROOM_NAME|OTH3_LEVEL|OTH3_DIMEN|OTH3_DSCRP|OTH4_ROOM_NAME|OTH4_LEVEL|OTH4_DIMEN|OTH4_DSCRP|OTH5_ROOM_NAME|OTH5_LEVEL|OTH5_DIMEN|OTH5_DSCRP|OTH6_ROOM_NAME|OTH6_LEVEL|OTH6_DIMEN|OTH6_DSCRP|COUNTY|STATE|YEAR_BUILT|ASSESSMENTS|TAXES|TAX_YEAR|PARKING_FEATURE|NO_BATHS|YEAR_BUILT_DESCRP|CONSTRUCTION|ROOF_MATERIAL|COLOR|EXTERIOR_FEATURES|INTERIOR_FEATURES|FLOORING|LOT_DESCRIPTION|BASEMENT_FEATURE|ROAD_TYPE|HEAT_ZONES|HEATING|COOLING_ZONES|COOLING|ELECTRIC_FEATURE|WATER|SEWER|APPLIANCES|WATERFRONT_FLAG|WATERFRONT|WATERVIEW_FLAG|WATERVIEW_FEATURES|ADULT_COMMUNITY|SQUARE_FEET_INCL_BASE|SQUARE_FEET_DISCLOSURES|HOME_OWN_ASSOCIATION|FEE_INTERVAL|TOTAL_PARKING|SHORT_SALE_LENDER_APP_REQD|AboveGradeFinishedArea|BelowGradeFinishedArea|TITLE5
"SF"|73166989|"NB114937"|"NB5077"|"ACT"|18750000|"279"|"Marlborough St"||1|"101"|"02116"|"N"|"Bespoke masterpiece on the sunny side of Marlborough. This exceptional 2019 new construction was built to the absolute highest of standards. It truly is a showcase of masterful design and impeccable craftsmanship. No details were overlooked. The level of thought and care devoted to design and engineering can be seen on every surface, and felt in every step. 279 Marlborough was built for everyday living, yet perfect for elegant entertaining. The parlor level strikes the perfect balance of comfort and elegance. The grand open staircase is simply a work of art. Walls of glass lead to the top floor terrace with outdoor fireplace and postcard views of the Back Bay skyline. Radiant floors throughout. Rare attached garage with lift to accommodate two full size cars. State of the art systems. Elevator to every floor. Electric car charging. Hardwired for internet. Heated walkways front and rear. Custom features far too numerous to list. A home without compromise, and beyond compare."|40|10/5/2023 12:26:00 PM|0|"N"||"B"|"H"|2688|0.06|6990|0|"A,G,H"|"Y"|10|4|5|2|"Y"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"Suffolk"|"MA"|1899|7808100|83859|"2023"|"A"|"5f;2h"|"B"|"A,B,C"|"D"||"C,G,T,3"|||"S"|"A,F,H,M"|||"B,H,N,U"||"A"||"A"|"A"||"N"|||||"N"||"N"||2|"N"|6990||
"SF"|73172298|"BB900822"|"BB5919"|"ACT"|10950000|"1"|"Fairfield Street"||1|"101"|"02116"|"N"|"Reintroducing this newly RENOVATED rare 30-foot wide single-family home in the heart of the Back Bay and Boston’s most coveted neighborhood. Boasting 6 bedrooms, 5.5 bathrooms, and an expansive 5,700 square feet, this home mixes it's historical brownstone charm with contemporary luxuries of a newly installed elevator, exquisite custom wood flooring and state-of-the-art appliances throughout the home. This single-family includes a private entrance in-law/guest suite adorned with lofty 9' ceilings and comes equip with two private parking spaces and option to buy one garage parking."|28|3/6/2024 4:10:00 PM|0|"N"||"B"|"H"|1994|0.05|5700|1|"C"|"Y"|18|6|5|1|"Y"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"Suffolk"|"MA"|1870|5034000|39950.4|"2022"|"A,I"|"5f;1h"|"A"|||||"W"||"A"|"A,D"|||"D,N"||"A"||"A"|"A"|"B,C,I,J"|"N"|||||"N"||||3|"N"|5700||
"SF"|73191095|"CN254967"|"NB5077"|"ACT"|9750000|"352"|"Marlborough St"||1|"101"|"02116"|"N"|"Gut renovated with a keen eye for detail, this turnkey Back Bay townhouse showcases historic architecture and contemporary design elements, creating a captivating aesthetic that resonates luxury. Spanning five floors, this home includes 4 bedrooms, 4 full baths, 3 half baths, 2 wet bars and elevator access to each level. The parlor level features open living and dining spaces, along with a state-of-the-art kitchen with premium appliances, custom cabinetry and an expansive marble island. High ceilings, custom walnut built-ins and chevron flooring complete this floor. The primary suite is located directly above featuring a large walk-in dressing room, study and luxurious marble bath with steam shower. The home's upper floor is comprised of an expansive family/entertaining room with a walk-off deck featuring stunning Back Bay views, while the lower level offers a substantial private patio. 3 full outdoor parking spaces complete with a snow melt system."|16|1/5/2024 10:05:00 AM|0|"N"||"B"|"P"|2576|0.06|4754|0|"F"|"N"|14|4|4|3|"Y"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"Suffolk"|"MA"|1880|5527700|60843.55|"2024"||"4f;3h"|"B"|"A,B"|||"E,G"|||"K"||||"B"||"A"||"A"|"A"||"N"||"N"|||"Y"||||3|"N"|4009|745|
"SF"|73195882|"BB809126"|"BB5984"|"ACT"|9850000|"226"|"Beacon St"||1|"101"|"02116"|"N"|"Introducing a premier townhouse opportunity on Waterside Beacon Street complete with spectacular Charles River views, elevator access to all floors and garage parking for 3 cars. This historic mansion, designed by the firm Snell and Gregerson in 1864, seamlessly blends magnificent architectural detail with modern updates. Outstanding features include ornate moldings and decorative plasterwork throughout, seven fireplaces and soaring ceiling heights in the sun-filled rooms. Enter the main floor boasting a Great Room with access to an expansive deck overlooking the lagoon on the Charles, perfect for entertaining. One floor above is an eat-in kitchen and an adjacent dining room showcasing exquisite period detail. The third floor is dedicated to the primary suite complete with a luxurious, renovated bath. The lower level features a home gym with full bath, an au-pair/guest suite with kitchen and direct access to the garage. Exceptional location close to all that Back Bay has to offer."|22|8/21/2024 12:06:00 PM|0|"N"||"B"|"H"|2700|0.06|7653|3|"A"|"Y"|10|5|6|2|"Y"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"Suffolk"|"MA"|1864|5921500|62830|"2024"|"E"|"6f;2h"|"A"|"C"|"D,G"|||||"K"||"A"||"B"||"A"||"A"|"A"||"N"||"Y"|"N"|"N"|"Y"||||4|"N"|6528|1125|
"SF"|73197603|"CT003245"|"AN0936"|"ACT"|2295000|"37"|"Fayette"||1|"115"|"02116"|"N"|"Welcome to 37 Fayette St, this South Facing Historical Classic Brick Single Family in Bay Village. Consisting of 4 Floors of Living Space, 3 Bed 2.5 Bath, Office Space, Central Air, Newer Windows throughout,New 40-Gal Natural Gas Water Heater. Double Palor: Entry foyer, Coat closet, living room with 2 fireplaces, custom built-ins and office area. 2nd Floor: consist of 2 bed, Front facing bed has exposed brick and wood burning fireplace. Rear facing bed has 2 closets and a wood burning fireplace and Bath with a free standing 5’ cast iron claw foot tub, separate shower with glass door, linen cabinet and classic wainscoting on the walls and 42’ pedestal sink. 3rd Floor has a sky-lit stairwell to master suite with exposed brick, 2 walk in closets, vaulted ceilings with exposed beams with 4 windows, French glass doors enter the en-suite marble bath, double sink vanity. Lower Level: the eat-in kitchen with an open floor with exposed beams, French door opens into patio with gazebo"|32|7/27/2024 9:10:00 AM|0|"N"||"B"|"14"|1005|0.02|2534|0||"Y"|7|3|2|1|"Y"|"2"|||"1"||||||"1"|||"4"|||"2"|||"2"|||||||||"1"|||"3"|||"4"|||"1"|||"FOY"|"2"|||"OFC"|"2"|||||||||||||||||||"Suffolk"|"MA"|1890|2492300|27166.07|"2024"|"D"|"2f;1h"|"D"|"B"|"D"||"E,O,W"||"J,M"|"K"||"A"||"A,B"||"A"|"H"|"A"|"A"|"A,C,D,F,I,J,K,L"|"N"||"N"|||"N"||"N"||0|"N"|2534||
"SF"|73208121|"BB904054"|"BB5984"|"ACT"|9950000|"59"|"Chestnut Street"||1|"102"|"02108"|"N"|"Magnificent corner Greek Revival townhouse just steps from Charles Street in Beacon Hill. This stunning property has been completely renovated and designed with the utmost attention to detail, brilliantly combining historic grandeur with today’s modern amenities. The gracious floor plan includes grandly scaled rooms with soaring ceilings sunlit from three exposures, including the elegant formal living and dining room, beautiful foyer with stunning spiral staircase, handsome wood paneled library with adjacent wet bar, relaxing family room, lower-level playroom/media room and a fabulous eat-in kitchen with a wall of floor-to-ceiling windows overlooking the lovely garden patio. Additional features include elevator access to almost every floor, luxurious primary suite, home office, mudroom, au pair suite and a separate entrance on Cedar Lane Way. This bit of old-world Boston has been perfectly redesigned for 21st century living complete with 1 parking space at Brimmer Street Garage."|33|3/4/2024 12:08:00 PM|0|"N"||"B"|"V"|1888|0.04|6442|1||"Y"|14|6|4|3|"Y"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"Suffolk"|"MA"|1824|6620900|72878.59|"2024"||"4f;3h"|"B"||||"E"|"C,F,Q,W"||"A"|"A,R"|||"B"||"A"||"A"|"A"||"N"||"N"|||"Y"||||1|"N"|5242|1200|
"SF"|73212831|"NB900482"|"NB9414"|"ACT"|555000|"20"|"Monterey Ave"||1||"02126"|"N"|"Great deal for investors and cash buyers. Ranch home with in-law unit on lower level. Buyer must do its due diligence when viewing property due to condition of property and when submitting offer and P&S. This home is under a conservatorship. The conservator is selling the home. Property is being sold AS IS.  Open House this Saturday the 9th and Sunday the 10th, 12 pm to 3 pm. Realtors can just send their buyers. Property has mold. Please wear facial mask during viewing."|25|3/15/2024 12:09:00 PM|0|"N"||"A"|"E"|7578|0.17|2316|0||"N"|9|4|2|0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"Suffolk"|"MA"|1960|412600|4431|"2023"|"A"|"2f;0h"|"G"|||||||"C"||"A"||"D"||"B"|"D"|"A"|"A"||"N"||"N"|||"Y"|"Buyers are welcome to wear facial mask during viewing. Buyer must do its due diligence when viewing"|||1|"N"|1416|900|
"SF"|73218521|"TM328399"|"AN8041"|"ACT"|17995000|"36"|"Lime Street"||1|"102"|"02108"|"U"|"Nestled within the historic charm of Beacon Hill's renowned ""Flat,"" 36 Lime Street is a testament to timeless elegance and modern luxury. The charming Mansard roof and stone frame casement windows exude classic New England allure, infusing the space with character and natural light from 3 sides. This magnificent 4+ bedroom, 5-bathroom residence offers an unparalleled living experience that seamlessly blends classic architecture with contemporary amenities. Elevating privacy and security to new heights, it features advanced automation, including custom sun and blackout shades in all bedrooms and an entryway door equipped with ballistic (""bulletproof"") smart glass that switches from transparent to opaque with the flick of a switch. Additional enhancements include Eagle Eye video surveillance, Brivo remote entry, and Meraki networking and access points. This home has been fully updated from the systems, the AV/security, finishes, custom built-ins + more. Designed to be elegantly simple!"|38|4/2/2024 12:11:00 PM|0|"N"|"The Flat- Beacon Hill"|"B"|"9,P"|1500|0.03|5875|1||"Y"|12|5|5|2|"Y"||||"1"|"13'7""X15'11"|"C,47,76"|"2"|"19'6""X22'4"""|"C,47,67,74"|"1"|"9'0""X13'8"""|"O,2,5,8,25,41,60,76"|"4"|"18'2""X14'6"""|"A,C,F,72,I,W,4,X,36,37"|"2"|"11'0""X19'3"""|"A"|"2"|"19'5""X13'8"""|"A"|"4"|"13'10X13'8"""|"A,W"|"B"|"18'5""X13'8"""|"A"||||||||||"3"|"4'5""X5'8"""||"OFC"|"3"|"8'1""X19'3"""|"A,4"|"MED"|"2"|"18'0""X13'9"""|"B"|"HMO"|"2"|"8'1""X19'3"""|"4"|"VES"|"1"|"5'7""X12'6"""|"68"|"SUN"||"7'6""X10'3"""|"E,P,8,41"|||||"Suffolk"|"MA"|1912|7018800|76504.92|"2024"||"5f;2h"|"A,D"|"C"|"D"||"2,E,U,3"|"C,F,Q,W"|"M"|"A"|"A,D"|||"B"||"A"||"A"|"A"|"A,B,C,D,F,I,J,K,L"|"N"||"N"|||"Y"|"1 bedroom currently being used as a walk in closet and 1 bedroom currently being used as a gym"|||1|"U"|4869|1006|
"SF"|73221549|"TM342006"|"AN4647"|"ACT"|9200000|"11"|"Chestnut Street"||1|"102"|"02108"|"N"|"In the heart of Beacon Hill, this south-facing Chestnut Street gem underwent a transformative renovation after purchased in 2018. The project was carried out by Holland, merging French elegance with modern luxury. A private spa, featuring an infinity pool, swim under Hammam with steam room, offers serene relaxation. The chef’s kitchen shines with a Lacanche stove and long wooden island. An outdoor patio adjacent to the kitchen, featuring a gas fireplace / grill. Versailles parquet and Chevron floors add sophistication, while eight fireplaces spread warmth throughout. A grand living room framed by 3 stately windows connects to the billiards room and library / office. Seamless elevator access across five floors and a primary suite with a marble bath and sitting room epitomize luxury. A reimagined attic becomes a vibrant family room with original beams and skylights. Meticulous craftsmanship ensures an exceptional living experience in this BH masterpiece, where no detail was overlooked."|42|8/3/2024 5:02:00 AM|0|"N"||"B"|"14"|1740|0.04|6596|0||"Y"|14|4|5|1|"Y"|"2"|"21'10X17'8"|"C,K,11,44,47,67,74"|"1"|"14'9X18'6"|"C,V,41,44,67,74"||"21'11X27'7"|"A,E,28,W,K,8"|"1"|"22'8X22'8"|"K,L,N,T,X,5,26,41,44,47,51,59,60,68"|"3"|"28'9X40'4"|"14,C,I,K,37,62,67,74"|"4"|"13'6X15'11"|"C,W,K,47,67,74"|"4"|"15'1X20'5"|"A,C,W,K,47,67,74"|"3"|"13'X12'8"|"A,C,K,47,67"||||"1"|"5'1X5'11"|"B,V"|"3"|"7'1X12'10"|"A,14,19,W,L,U,67"|"4"|"6'5X17'"|"A,14,19"|"4"||"K,57"|"HMO"|"1"|"11'2X17'4"|"C,K,N,67,74,81"|"LIB"|"2"|"12'11X24'2"|"C,28,W,K,74"|"GRM"|"2"|"14'X23'1"|"C,W,K,11,X,44,47,62,64,67,74"|"OTH"|"2"|"6'10X11'5"|"W,L,8,47"|"BTH"|"3"|"7'1X9'7"|"A,19,47"|"OTH"|"B"||"A,19,W,L,47,52,57,78"|"Suffolk"|"MA"|1822|7215600|78650|"2024"|"B"|"5f;1h"|"A,D"|"B,C"|"B,D,G"||"D,G"|"D,E,F,G,N,O,W"|"C,J,M,T"|"D,M,U"|"A,E,G"|"A,C,E,I"|6|"B"||"A"||"A"|"A"|"A,C,F,I,J,K,L,Q,Y"|"N"||"N"||"N"|"Y"|"Includes the dug out basement with pool / spa area"|"N"||1|"N"|5663|933|
"SF"|73222560|"CT005585"|"AN3697"|"ACT"|1100000|"37"|"Jenkins St"||1|"005"|"02127"|"N"|"Currently a Single Family residence, this property is approved for Multi-Family construction. Don't miss this rare opportunity: ZBA and BDPA have approved Architectural plans for a Multifamily development in South Boston! This current single-family home is conveniently located near train and expressway access. Situated across the street from the beach, and within close proximity to Boston Medical Center, BU Medical, and BU Dental, this property offers a unique investment potential in a highly desirable area. Photos show plans depicting what a new owner can build if desired: could include; level 1 consisting of a 2 car garage., Unit 1: level 2 : 2Bed 2Bath Unit 2: Level3: 1 Bed 2 Bath, Unit 2: Level 4: 2Bed 2Bath Total Finished square feet could be up to 3,070.. Height of new construction, as depicted/shown, may include partial water views. Inquire today for more info on this unique opportunity."|14|4/10/2024 5:05:00 PM|0|"N"||"A"|"A"|1650|0.04|1650|0||"Y"|6|3|1|0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"Suffolk"|"MA"|1905|630500|6872|"2024"|"D"|"1f;0h"|"D"|"A"||||||"A"||"A,C"||"A"||"H"||"A"|"A"||"N"|||||"N"||||0|"N"|1650||
"SF"|73229393|"CT006385"|"AN5137"|"ACT"|560500|"24"|"Gallivan Blvd"||1||"02124"|"U"|"Great investment opportunity on main road. Roof and windows appear in good condition. Property will need some siding and porch repairs. Seller has not been inside of the property, as it is occupied, so interior condition unknown. This property is being sold occupied and could involve additional costs. There will be NO ACCESS to the interior of the property, so only cash offers can be considered. Please refer to the purchase contract for fees/costs paid by seller/buyer. XOME auction will start soon."|9|4/26/2024 2:07:00 PM|0|"N"|"Dorchester"|"A"|"A"|4476|0.1|1620|1|"B"|"Y"|7|4|1|1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"Suffolk"|"MA"|1931|522100|5691|"2024"|"A,N"|"1f;1h"|"A"|"A"|"A"||"A"|||"C,S"|"A"|||"D"||"H"||"A"|"A"||"N"|||||"N"||"N"||3|"N"|1620||
"SF"|73230604|"CN209930"|"AN1793"|"ACT"|4695000|"121"|"Warren Avenue"||1|"104"|"02116"|"N"|"NEW PRICE!!! After 4 consecutive price improvements the brand new and immaculately renovated 121 Warren Ave. is priced to sell! This 5 story single family is exquisitely designed and built to the highest standards of urban living. Do not miss your opportunity to be the first to own this 4 bed, 4.5 bath townhouse with parking in the South End's Golden Triangle. More than 3,400 SF of living space spreads across a thoughtful layout of bedrooms, living rooms, outdoor, and flex spaces. Thinking about the South End or Back Bay? This home splits the difference. The exceptional location provides the absolute best of neighborhood walkability and a direct access parking spot! This home is fully wired for smart home and media customization. Come see the custom designer kitchen, the dazzling parlor living room and den, the luxurious primary suite with a steam shower and heated floors, and the panoramic, skyline-marveling roof deck. Make it all yours at a new price that is ready to move!"|32|4/30/2024 2:52:00 PM|0|"N"|"Golden Triangle"|"B"|"H,Q"|1083|0.02|3450|0||"Y"|13|4|4|1|"Y"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"Suffolk"|"MA"|2024|2042100|22470|"2024"|"A,E"|"4f;1h"|"A"||||"C,2,D"|||"M"|"A,D"|||"B"||"A"||"A"|"A"||"N"|||||"Y"||"N"||1|"N"|2770|680|
"SF"|73234429|"BB922621"|"BB6400"|"ACT"|1997000|"56"|"Winthrop Street"||1|"018"|"02129"|"N"|"Charlestown Single Family with a historic past in the gaslight district. Built in 1798, this charming home overlooks the Iconic Winthrop Square training field. The heart of the community hosting Halloween, Bunker Hill day & summer concerts. The LARGEST private fenced-in side yard. Urban sanctuary with a suburban feel. Abundant green grass for BBQ’s & dinner parties under the stars. Space for your own basketball hoop! Enter into an inviting sunny living & dining space w/2 fireplaces & arched doorways. Sunroom makes a perfect home office. Powder room & W/D off the kitchen. Renovated in 2013 the expansive upstairs has a newer skylight, 4 spacious BR's, custom closets & full bath. Postcard views. Formerly owned by Capt. Comfort Bird, renowned mariner 1798-1803. Dozens of Revolutionary War artifacts found on the property. Only blocks from the Monument & Naval Shipyard. Stroll to the North End for dinner or TD for a game. Once in a lifetime opportunity to own your dream home."|27|7/6/2024 12:33:00 PM|0|"N"||"A"|"14"|2602|0.06|1839|0||"Y"|7|4|1|1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"Suffolk"|"MA"|1798|1726400|18818|"2024"|"D"|"1f;1h"|"B"||||||"A"|"S"|||2|"D"|0|"B"||"A"|"A"||"N"||"N"|||"N"|"105 SF in the sunroom with electric heat is included."|"N"||0|"N"|1839|0|
"SF"|73235024|"CN203211"|"AN7094"|"ACT"|1199000|"79"|"Park St"||1|"009"|"02132"|"N"|"Price Improvement! Location, Value and Charm! This 5-bedroom Colonial home was recently gutted down to the studs and renovated.  Located in the desirable Highlands neighborhood. Enjoy suburban living and a private backyard with easy access to Downtown Boston just steps away by the Commuter Rail.  This home tastefully blends the original charm and detail with modern and updated amenities including the kitchen and bathrooms. The kitchen features a massive center island, separate eating area and wifi stainless steel appliances.  The 2nd floor offers a laundry room, 4 large bedrooms and 2 full baths.  The primary bedroom features its own bathroom with barn sliding door, fireplace and a private sun porch!  The 3rd floor has another suite with a bathroom which can be used as a bedroom, office or playroom.  This home features dual zone central A/C and updates include: newer roof, baths, plumbing, electrical, insulation and more. Property tax does not include the residential exemption."|42|7/12/2024 3:10:00 PM|0|"N"||"A"|"A"|4672|0.11|2642|0||"Y"|9|5|3|1|"Y"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"Suffolk"|"MA"|1900|1082200|11796|"2024"|"V"|"3f;1h"|"B"|||||||"A"|"Q,R"|||"B"|2|"A"|"H"|"A"|"A"||"N"||"N"|||"N"||||0|"N"|2642||
